ID,link
16071500,800009690
16518000,800015240
16720000,800001894
16725000,800006488
16770500,800008811
16508000,800015253
16200000,800010025
16587000,800004018
16345000,800009962
16620000,800000049
16226200,800007811
16501200,800008624
16211600,800007563
16414200,800010242
16614000,800012766
16226400,800001052
16618000,800001543
16604500,800006088
16019000,800011545
16068000,800007408
16400000,800005961
16301050,800003355
16304200,800005569
16010000,800007054
16108000,800004830
16213000,800005477
16103000,800000482
16717000,800008995
16704000,800015634
16060000,800000661
